R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,predictions
598,517.0,43.0,0.26657824933687,0.3757736516357206,0.0,1134.0,50.0,19.0,0
611,696.0,23.0,0.2618217054263566,0.40852713178294575,0.0,0.0,0.0,0.0,0
934,629.0,126.0,0.30338733431516934,0.4096097201767305,0.0,914.0,219.0,234.0,1
715,797.0,47.0,0.26771803154094626,0.43150294508835263,105.0,0.0,1249.0,0.0,0
813,993.0,188.0,0.26316704328176604,0.47123240048670256,0.0,1.0,1.0,0.0,0
515,656.0,17.0,0.2726777444837919,0.4734404794333969,104.0,0.0,459.0,0.0,0
570,621.0,44.0,0.3419298753984352,0.4879745001448855,0.0,203.0,44.0,0.0,0
550,591.0,20.0,0.2616965456930477,0.4164844774814167,1243.0,0.0,0.0,0.0,0
775,781.0,55.0,0.29398000425441395,0.49819187406934695,0.0,0.0,0.0,0.0,0
1113,935.0,112.0,0.3070929070929071,0.5678321678321678,0.0,1.0,1.0,7.0,1
718,502.0,166.0,0.2748986990829601,0.3550863723608445,0.0,1238.0,1.0,1.0,0
492,425.0,73.0,0.2749210645015787,0.36039693279206136,0.0,1030.0,6.0,53.0,0
704,861.0,139.0,0.30067001675041877,0.5012562814070352,0.0,0.0,1.0,0.0,0
569,274.0,119.0,0.309377307408319,0.38247600295348266,0.0,0.0,0.0,0.0,0
554,514.0,19.0,0.28065241844769406,0.4282902137232846,0.0,0.0,0.0,0.0,0
619,691.0,24.0,0.2674747474747475,0.43696969696969695,0.0,1.0,937.0,1.0,0
535,544.0,16.0,0.2705464238116393,0.406486006219458,0.0,1.0,1161.0,1.0,0
780,633.0,128.0,0.2840552995391705,0.4250691244239631,0.0,0.0,0.0,1359.0,0
1058,504.0,794.0,0.29199277543648405,0.4326710816777042,0.0,0.0,0.0,0.0,1
682,911.0,2.0,0.25741710296684117,0.49105584642233857,0.0,2.0,5.0,0.0,0
845,881.0,57.0,0.30183881064162754,0.49726134585289516,0.0,0.0,0.0,0.0,0
1006,537.0,502.0,0.2915927061481362,0.4318218492819106,0.0,0.0,0.0,0.0,0
639,621.0,202.0,0.26221434200157606,0.39164696611505123,0.0,936.0,520.0,32.0,0
654,645.0,23.0,0.31513390076811293,0.4183101515466058,0.0,4.0,439.0,710.0,0
734,532.0,196.0,0.2612436448963629,0.3959718420023465,0.0,0.0,0.0,0.0,0
661,394.0,58.0,0.3124548301614069,0.4148397976391231,0.0,0.0,0.0,0.0,0
710,693.0,53.0,0.2903373881110856,0.45880192793206337,0.0,0.0,0.0,0.0,0
1095,1213.0,60.0,0.33879781420765026,0.6397490386561425,50.0,0.0,119.0,1.0,1
503,506.0,134.0,0.2713900465800441,0.41676881588624665,0.0,0.0,0.0,0.0,0
738,833.0,26.0,0.272390364422483,0.471278567016677,0.0,0.0,0.0,0.0,0
783,742.0,59.0,0.30982044705020156,0.44027116159765484,0.0,0.0,0.0,0.0,0
958,806.0,219.0,0.29732328898862,0.47074851739060747,0.0,0.0,0.0,0.0,0
1347,1295.0,90.0,0.35319767441860467,0.7369186046511628,0.0,0.0,0.0,0.0,1
542,562.0,21.0,0.24193548387096775,0.44505194095133954,837.0,0.0,0.0,0.0,0
808,510.0,45.0,0.29774658293313633,0.40857037310676025,0.0,0.0,0.0,0.0,0
781,407.0,54.0,0.2877995642701525,0.3806100217864924,0.0,19.0,363.0,811.0,0
814,975.0,132.0,0.29759342594404226,0.47603208765407945,0.0,1168.0,144.0,60.0,1
610,724.0,19.0,0.25688282138794083,0.44004550625711036,0.0,0.0,0.0,0.0,0
683,734.0,40.0,0.26084938500812255,0.46925040612671154,0.0,0.0,3.0,0.0,0
689,495.0,82.0,0.28266191853995104,0.4019586022701981,0.0,0.0,7.0,0.0,0
759,988.0,18.0,0.27590198726606213,0.4863978390893305,0.0,0.0,0.0,0.0,0
613,629.0,126.0,0.28578961244397577,0.49960453466912735,0.0,0.0,0.0,0.0,0
668,706.0,42.0,0.2864906832298137,0.4297360248447205,0.0,49.0,1298.0,0.0,0
798,723.0,148.0,0.2876480541455161,0.4463244970859184,0.0,0.0,0.0,0.0,0
697,576.0,45.0,0.2760906757912746,0.40975192472198463,0.0,599.0,508.0,284.0,0
577,585.0,144.0,0.2696328713834184,0.41453926574276684,0.0,0.0,213.0,0.0,0
539,573.0,36.0,0.27371342078708377,0.4445005045408678,0.0,0.0,0.0,0.0,0
727,800.0,217.0,0.2643653516295026,0.49313893653516294,0.0,0.0,0.0,0.0,0
629,352.0,249.0,0.25843411839592617,0.34182049649904517,0.0,1315.0,0.0,0.0,0
787,889.0,45.0,0.28270676691729324,0.5149301825993555,0.0,0.0,0.0,0.0,0
468,510.0,48.0,0.24630690382876091,0.45764244799517634,0.0,0.0,1.0,0.0,0
606,738.0,15.0,0.26113943693194414,0.4460208379516737,0.0,0.0,0.0,0.0,0
895,1046.0,21.0,0.2896513962401898,0.4739916043073554,0.0,0.0,93.0,1273.0,1
347,424.0,10.0,0.24038191519236168,0.35523729289525413,1075.0,0.0,0.0,0.0,0
557,447.0,50.0,0.29420432220039294,0.38285854616895876,0.0,2.0,897.0,4.0,0
659,528.0,98.0,0.2770605759682224,0.4044190665342602,0.0,56.0,3.0,3.0,0
773,621.0,58.0,0.27592669720949603,0.4358600583090379,0.0,2.0,367.0,9.0,0
821,395.0,261.0,0.2687392714094984,0.35742895288956705,0.0,0.0,0.0,0.0,0
731,482.0,108.0,0.2653061224489796,0.36885069817400645,0.0,631.0,297.0,254.0,0
661,704.0,31.0,0.2770592239618788,0.4964828681642841,0.0,0.0,0.0,0.0,0
902,1133.0,88.0,0.2969076076645798,0.5744640485676342,0.0,0.0,0.0,0.0,1
714,772.0,38.0,0.27387387387387385,0.4990990990990991,0.0,0.0,0.0,0.0,0
892,1070.0,47.0,0.32500484214603914,0.536509781134999,0.0,1.0,0.0,0.0,1
773,921.0,65.0,0.2826281021246206,0.47759328691305125,0.0,1.0,8.0,0.0,0
709,547.0,147.0,0.29526813880126185,0.41661409043112513,0.0,0.0,0.0,0.0,0
714,658.0,60.0,0.29964127453049166,0.4365899978898502,0.0,29.0,1287.0,2.0,0
1009,806.0,364.0,0.2713667508113956,0.47980526505589616,0.0,0.0,0.0,0.0,0
644,466.0,96.0,0.24439150287869763,0.3698630136986301,0.0,53.0,65.0,1221.0,0
744,373.0,272.0,0.2867417885399185,0.4224406617118197,0.0,0.0,0.0,0.0,0
473,390.0,49.0,0.2536434108527132,0.4186046511627907,0.0,0.0,0.0,0.0,0
996,668.0,505.0,0.32910906298003073,0.4274193548387097,0.0,1403.0,0.0,29.0,1
538,640.0,16.0,0.3071621954221019,0.4715727295102141,17.0,0.0,1.0,0.0,0
582,463.0,40.0,0.30106508875739646,0.40828402366863903,0.0,589.0,171.0,315.0,0
777,762.0,81.0,0.25675675675675674,0.47740709459459457,0.0,0.0,0.0,0.0,0
624,520.0,19.0,0.2701547231270358,0.38456840390879476,0.0,0.0,0.0,1328.0,0
