playerID,yearID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,BB,SO,ERA,IBB
aardsda01,18084,16,18,331,0,0,0,69,1011,296,160,183,340,46.75000000000001,22.0
aasedo01,25786,66,60,448,91,22,5,82,3328,1085,468,457,641,45.41,45.0
abadfe01,16108,8,27,363,6,0,0,2,953,300,129,113,271,36.66,10.0
abbeybe01,9470,22,40,79,65,52,0,1,1704,686,285,192,161,28.07,0.0
abbeych01,1896,0,0,1,0,0,0,0,6,6,1,0,0,4.5,0.0
abbotda01,1890,0,2,3,1,1,0,1,39,19,9,8,1,6.23,0.0
abbotgl01,21760,62,83,248,206,37,5,0,3858,1405,627,352,484,51.98,28.0
abbotji01,19937,87,108,263,254,31,6,0,5022,1779,791,620,888,49.459999999999994,30.0
abbotky01,7974,4,17,57,22,0,0,0,556,207,107,79,124,33.77,0.0
abbotpa01,23977,43,37,162,112,1,0,0,2162,682,394,393,496,66.14,17.0
aberal01,11725,24,25,168,30,7,0,14,1168,398,181,160,169,43.55,10.0
abernbi01,1952,0,0,1,0,0,0,1,6,4,3,1,0,13.5,0.0
abernte01,5829,0,3,7,2,1,0,0,61,31,25,17,13,26.020000000000003,0.0
abernte02,29473,63,69,681,34,7,2,148,3443,1010,441,592,765,67.41000000000001,80.0
abernwo01,3893,1,1,16,1,0,0,1,126,36,17,11,6,12.379999999999999,0.0
ablesha01,5725,1,5,14,8,4,0,0,214,79,32,30,41,15.76,0.0
abramge01,1923,0,0,3,0,0,0,0,14,10,5,3,1,9.64,0.0
abregjo01,1985,1,1,6,5,0,0,0,72,32,17,12,13,6.38,1.0
abreuju01,2011,0,0,7,0,0,0,0,20,6,2,3,12,2.7,0.0
abreuwi01,6022,0,1,38,0,0,0,0,133,57,36,19,38,41.650000000000006,2.0
accarje01,18074,10,20,262,0,0,0,38,854,288,136,111,205,53.489999999999995,16.0
aceveal01,14077,31,16,204,15,0,0,29,1141,333,162,129,282,28.29,6.0
